237,"Ib  7","atk","Ib",7,163390,198700,""
238,"Ib  8","atk","Ib",8,163260,199200,""
239,"Ib  9","atk","Ib",9,162750,199690,""
240,"KO  1","atk","KO",1,162890,198020,""
241,"KO  2","atk","KO",2,163220,197770,""
242,"KO  3","atk","KO",3,163190,197370,""
243,"KO  4","atk","KO",4,162860,197750,""
244,"KO  5","atk","KO",5,162890,197700,""
245,"KR  1","atk","KR",1,166120,189150,""
246,"KR  2","atk","KR",2,166370,189290,""
247,"KR 4","atk","KR",4,,,""
248,"MS  1","atk","MS",1,171830,175700,""
249,"MS  2","atk","MS",2,172060,175500,""
250,"MS  3","atk","MS",3,172220,175220,""
251,"MS  4","atk","MS",4,171700,174200,""
252,"MS  5","atk","MS",5,171610,174310,""
253,"MS  6","atk","MS",6,171670,174520,""
254,"MS  7","atk","MS",7,171520,174770,""
255,"MS  8","atk","MS",8,171320,174910,""
256,"MS  9","atk","MS",9,171370,175080,""
257,"Pe  1","atk","Pe",1,164270,192520,""
258,"Pe  2","atk","Pe",2,164490,192370,""
259,"Pe  3","atk","Pe",3,164320,192170,""
260,"Pe  4","atk","Pe",4,164780,191400,""
261,"Pe  5","atk","Pe",5,164160,191540,""
